module,GO_BP_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway,9_Level_Pathway,10_Level_Pathway,11_Level_Pathway
R1_string_46,GO:0042776,biological_process,cellular process,metabolic process,"primary metabolic process, purine-containing compound metabolic process, biosynthetic process, small molecule metabolic process, carbohydrate derivative metabolic process, phosphorus metabolic process","ribose phosphate metabolic process, purine-containing compound biosynthetic process, carbohydrate derivative biosynthetic process, nucleobase-containing compound metabolic process, phosphate-containing compound metabolic process, nucleobase-containing compound biosynthetic process, organophosphate metabolic process, nucleobase-containing small molecule metabolic process, purine nucleotide metabolic process, organophosphate biosynthetic process","nucleoside phosphate biosynthetic process, ribonucleotide metabolic process, nucleoside phosphate metabolic process, purine nucleotide biosynthetic process, ribose phosphate biosynthetic process, purine ribonucleotide metabolic process","nucleoside triphosphate biosynthetic process, ATP metabolic process, purine ribonucleotide biosynthetic process, nucleotide metabolic process, nucleoside triphosphate metabolic process, nucleotide biosynthetic process, ribonucleotide biosynthetic process","ribonucleoside triphosphate biosynthetic process, purine nucleoside triphosphate biosynthetic process, ribonucleoside triphosphate metabolic process, ATP biosynthetic process, purine nucleoside triphosphate metabolic process","purine ribonucleoside triphosphate metabolic process, purine ribonucleoside triphosphate biosynthetic process, proton motive force-driven ATP synthesis",,,
R1_string_47,GO:0035720,biological_process,"localization, cellular process","microtubule-based process, establishment of localization, protein-containing complex localization, cellular localization","microtubule-based movement, intraciliary transport, intracellular transport, transport, establishment of localization in cell","microtubule-based transport, transport along microtubule, cytoskeleton-dependent intracellular transport",,,,,,,
R1_string_51,GO:0006890,biological_process,"localization, cellular process","vesicle-mediated transport, establishment of localization","transport, Golgi vesicle transport",,,,,,,,
R1_string_53,GO:0086100,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","G protein-coupled receptor signaling pathway, regulation of cellular process",,,,,,,,
R1_string_55,GO:0019646,biological_process,cellular process,metabolic process,generation of precursor metabolites and energy,"energy derivation by oxidation of organic compounds, electron transport chain","cellular respiration, respiratory electron transport chain",aerobic respiration,,,,,
R1_string_56,GO:0034446,biological_process,cellular process,cell adhesion,cell-substrate adhesion,,,,,,,,
R1_string_57,GO:0071492,biological_process,"response to stimulus, cellular process","response to abiotic stimulus, cellular response to stimulus","response to radiation, cellular response to abiotic stimulus, cellular response to environmental stimulus","cellular response to radiation, response to light stimulus","response to UV, cellular response to light stimulus","response to UV-A, cellular response to UV",,,,,
R1_string_58,GO:0006086,biological_process,cellular process,metabolic process,"primary metabolic process, purine-containing compound metabolic process, biosynthetic process, small molecule metabolic process, phosphorus metabolic process, amide metabolic process, sulfur compound metabolic process","thioester metabolic process, acyl-CoA metabolic process, purine-containing compound biosynthetic process, nucleobase-containing compound metabolic process, phosphate-containing compound metabolic process, organic acid metabolic process, sulfur compound biosynthetic process, nucleobase-containing compound biosynthetic process, organophosphate metabolic process, nucleobase-containing small molecule metabolic process, amide biosynthetic process, organophosphate biosynthetic process","acyl-CoA biosynthetic process, acetyl-CoA metabolic process, oxoacid metabolic process, nucleoside phosphate metabolic process, thioester biosynthetic process, nucleoside phosphate biosynthetic process","acetyl-CoA biosynthetic process, carboxylic acid metabolic process",monocarboxylic acid metabolic process,pyruvate metabolic process,,,
R1_string_59,GO:0060113,biological_process,"developmental process, cellular process",cellular developmental process,cell differentiation,neuron differentiation,mechanoreceptor differentiation,,,,,,
R1_string_60,GO:0010968,biological_process,biological regulation,regulation of biological process,regulation of cellular process,"regulation of cellular component biogenesis, regulation of cellular component organization, regulation of microtubule-based process","regulation of organelle organization, regulation of microtubule cytoskeleton organization, regulation of supramolecular fiber organization, regulation of protein-containing complex assembly","regulation of microtubule polymerization, regulation of microtubule polymerization or depolymerization, regulation of protein polymerization, regulation of cytoskeleton organization",,,,,
